Hex_ID,CitCtr_PT,CitCtr_Cy,CitCtr_Wa,CitCtr_Ca,DisCtr_PT,DisCtr_Cy,DisCtr_Wa,DisCtr_Ca,Em500_PT,Em500_Cy,Em500_Wa,Em500_Ca,Em5000_PT,Em5000_Cy,Em5000_Wa,Em5000_Ca,FurEd_PT,FurEd_Cy,FurEd_Wa,FurEd_Ca,GP_PT,GP_Cy,GP_Wa,GP_Ca,Hos_PT,Hos_Cy,Hos_Wa,Hos_Ca,MajCtr_PT,MajCtr_Cy,MajCtr_Wa,MajCtr_Ca,PriSch_PT,PriSch_Cy,PriSch_Wa,PriSch_Ca,SecSch_PT,SecSch_Cy,SecSch_Wa,SecSch_Ca,StrEmp_PT,StrEmp_Cy,StrEmp_Wa,StrEmp_Ca
SV00129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV00126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV00136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV00134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV00128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV00135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV00141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.934614738918235,0.0,0.0,0.0,20.50974493418462,0.0,0.0,0.0,0.6508131153025684,0.0,0.0,0.0,1.3642412515360522,0.0,0.0,0.0,2.9615353336816015,0.0,0.0,0.0,0.1596068797208648,0.0,0.0,0.0,1.13400422402583,0.0,0.0,0.0,18.269006718546493,0.0,0.0,0.0,9.956406784578443,0.0,0.0,0.0,0.0
SV00137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.44045387851193,0.0,0.0,0.0,19.95258494547124,0.0,0.0,0.0,0.6398324041918736,0.0,0.0,0.0,1.3367973236047113,0.0,0.0,0.0,2.8878174720466143,0.0,0.0,0.0,0.1554448123185393,0.0,0.0,0.0,1.1083312562633374,0.0,0.0,0.0,17.77977936419829,0.0,0.0,0.0,9.758502209240637,0.0,0.0,0.0,0.0
SV00150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV00149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.12353132643083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV00148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV00147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV00146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV00143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV00139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.656164237630577,0.0,0.0,0.0,22.498250380315817,0.0,0.0,0.0,0.6879767294751156,0.0,0.0,0.0,1.458683590243582,0.0,0.0,0.0,3.221292979605826,0.0,0.0,0.0,0.1742961650587217,0.0,0.0,0.0,1.223186628743481,0.0,0.0,0.0,20.00742978428933,0.0,0.0,0.0,11.088977123793889,0.0,0.0,0.0,0.0
